City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,chegdomyn,51.1167,133.0167,-21.55,98,100,0.43,RU,1736356320
243,copiapo,-27.3667,-70.3333,27.36,37,0,4.85,CL,1736356204
244,tsiombe,-25.3,45.4833,27.71,73,65,3.2,MG,1736356322
245,lethem,3.3803,-59.7968,35.64,34,38,5.39,GY,1736356323
246,fayroz koh,34.5195,65.2509,-11.61,87,29,2.54,AF,1736356325
247,taoudenni,22.6783,-3.9836,23.19,14,4,6.92,ML,1736356326
248,lompoc,34.6391,-120.4579,11.19,52,0,3.6,US,1736356297
249,saint-francois,46.4154,3.9054,14.67,60,0,2.57,FR,1736355917
250,bayganin,48.6947,55.8742,-3.78,87,99,7.36,KZ,1736356329
251,kerikeri,-35.2268,173.9474,12.17,87,39,2.23,NZ,1736356330
252,muynoq,43.7683,59.0214,-2.6,44,6,5.18,UZ,1736356331
253,weiser,44.251,-116.9693,0.73,90,100,1.09,US,1736356282
254,bonny,4.4522,7.1681,28.55,73,98,6.36,NG,1736356180
255,el calafate,-50.3408,-72.2768,13.52,48,28,9.43,AR,1736356175
256,ellsworth,44.5434,-68.4195,-5.42,57,100,5.66,US,1736356104
257,acarau,-2.8856,-40.12,30.81,59,98,7.44,BR,1736356337
258,iguape,-24.7081,-47.5553,25.9,72,13,4.95,BR,1736356215
259,vorgashor,67.5833,63.95,-28.5,100,100,1.81,RU,1736356339
260,crane,31.3974,-102.3501,0.55,24,86,5.03,US,1736356341
261,kristiansund,63.1115,7.732,-6.64,86,0,2.57,NO,1736356342
262,siocon,7.7061,122.1353,25.74,87,100,0.89,PH,1736356344
263,sovetskaya gavan',48.9723,140.2878,-5.59,89,100,8.86,RU,1736356345
264,amurzet,47.6967,131.0981,-18.22,86,100,3.86,RU,1736356346
265,benghazi,32.1167,20.0667,17.54,56,100,2.73,LY,1736356587
266,verkhnevilyuysk,63.4453,120.3167,-27.17,98,66,1.67,RU,1736356588
267,kavieng,-2.5744,150.7967,27.82,77,98,4.69,PG,1736356589
268,adel,31.1371,-83.4235,6.47,56,34,0.89,US,1736356590
269,korla,41.7597,86.1469,-6.43,75,100,1.05,CN,1736356592
270,drahichyn,52.1874,25.1597,0.2,99,100,3.08,BY,1736356422
271,mount isa,-20.7333,139.5,27.87,61,40,3.6,AU,1736356594
272,waingapu,-9.6567,120.2641,26.94,81,100,1.61,ID,1736356595
273,magadan,59.5667,150.8,-15.21,66,23,4.47,RU,1736356596
274,toliara,-23.35,43.6667,26.08,79,58,1.81,MG,1736356597
275,villa elisa,-25.3667,-57.6167,38.0,28,0,4.12,PY,1736356598
276,carbondale,37.7273,-89.2168,-4.95,80,100,2.57,US,1736356600
277,jalna,19.8333,75.8833,17.76,37,98,3.22,IN,1736356080
278,akureyri,65.6835,-18.0878,-9.04,86,75,2.57,IS,1736356603
279,arraial do cabo,-22.9661,-42.0278,28.92,74,40,5.66,BR,1736356434
280,ponta delgada,37.7333,-25.6667,18.4,88,40,7.2,PT,1736356605
281,huanren,41.2647,125.3667,-15.09,74,100,3.09,CN,1736356606
282,ola,59.5833,151.2833,-16.77,72,16,4.94,RU,1736356609
283,noumea,-22.2763,166.4572,22.41,75,31,3.91,NC,1736356610
284,fort st. john,56.2499,-120.8529,-7.5,94,73,1.96,CA,1736356436
285,hasaki,35.7333,140.8333,7.64,32,24,6.94,JP,1736356613
286,murghob,38.1702,73.9667,-26.4,91,7,2.81,TJ,1736356614
287,saint-pierre,-21.3393,55.4781,27.82,69,0,3.6,RE,1736356615
288,winnemucca,40.973,-117.7357,-2.97,80,0,0.0,US,1736356616
289,wenchang,30.904,118.4887,2.95,49,25,1.76,CN,1736356617
290,ambon,-3.6954,128.1814,28.26,95,99,1.85,ID,1736356619
291,harrismith,-28.2728,29.1295,16.94,93,63,5.3,ZA,1736356620
292,mahibadhoo,3.7833,72.9667,27.65,76,52,5.52,MV,1736356621
293,mata-utu,-13.2816,-176.1745,28.35,79,100,11.01,WF,1736356622
294,chilca,-12.5211,-76.7372,21.55,82,99,2.26,PE,1736356623
295,ilha de mocambique,-15.0342,40.7358,28.07,79,28,6.4,MZ,1736356624
296,walvis bay,-22.9575,14.5053,18.79,71,29,7.56,NA,1736356625
297,onsong,42.9572,129.9933,-16.78,45,13,5.13,KP,1736356626
298,cockburn town,21.4612,-71.1419,24.75,74,80,3.78,TC,1736356608
299,selfoss,63.9331,-20.9971,-12.2,76,0,4.26,IS,1736356069
300,tual,-5.6667,132.75,28.62,72,37,1.74,ID,1736356630
301,kupang,-10.1667,123.5833,26.39,87,100,1.45,ID,1736356631
302,benguela,-12.5763,13.4055,25.47,76,100,3.56,AO,1736356363
303,san luis de la loma,17.2706,-100.8939,29.16,51,0,1.88,MX,1736356633
304,antsiranana,-12.2787,49.2917,26.25,83,14,4.33,MG,1736356634
305,daru,-9.0763,143.2092,26.79,85,97,2.54,PG,1736356635
306,arawa,-6.2132,155.5367,25.91,91,95,1.91,PG,1736356637
307,makokou,0.5738,12.8642,27.51,61,97,1.49,GA,1736356638
308,altay,47.8667,88.1167,-12.1,83,100,2.47,CN,1736356639
